ip_prefix,subnet
192.168.1.01,subnet 1
192.168.1.02,subnet 1
192.168.1.03,subnet 1
192.168.1.04,subnet 1
192.168.1.05,subnet 1
192.168.2.01,subnet 2
192.168.2.02,subnet 2
192.168.2.03,subnet 2
192.168.2.04,subnet 2
192.168.2.05,subnet 2
192.168.3.01,subnet 3
192.168.3.02,subnet 3
192.168.3.03,subnet 3
192.168.3.04,subnet 3
192.168.3.05,subnet 3
192.168.4.01,subnet 4
192.168.4.02,subnet 4
192.168.4.03,subnet 4
192.168.4.04,subnet 4
192.168.4.05,subnet 4
192.168.5.01,subnet 5
192.168.5.02,subnet 5
192.168.5.03,subnet 5
192.168.5.04,subnet 5
192.168.5.05,subnet 5
